model_id,model_role,n_countries,n_dyads,permutations,seed,predictor,predictor_label,coefficient,standard_error_ols,t_observed,standardized_effect,permutation_p_two_sided,permutation_p_two_sided_plus1,random_t_mean,random_t_sd
exclude_ambiguous_ixps,sensitivity,37,666,10000,1541189490,log_distance_capital_km,Log capital distance,-0.16936296334977002,0.03405920617625256,-4.972604542611349,-0.24458934106436683,0.0,9.999000099990002e-05,-0.0019261283415276536,1.0779673144741184
exclude_ambiguous_ixps,sensitivity,37,666,10000,1541189490,common_official_language,Common official language,0.35880455190109517,0.049837162492967706,7.199538134855178,0.2588601780919687,0.0,9.999000099990002e-05,-0.006045198107326517,1.0560706660125028
exclude_ambiguous_ixps,sensitivity,37,666,10000,1541189490,log_gdp_geometric_mean,Log GDP geometric mean,0.10075943433013174,0.02959533816227114,3.4045711448765377,0.14551400826595617,0.0041,0.004199580041995801,0.002431470085932618,1.2109943754335943
exclude_ambiguous_ixps,sensitivity,37,666,10000,1541189490,log_member_asn_geometric_mean,Log member-ASN geometric mean,-0.024891532668823813,0.03188106322748546,-0.7807623130763155,-0.03594766797376095,0.4887,0.48875112488751127,-0.009237578386004154,1.0996966205433918
continental_zero_lower_bound,sensitivity,47,1081,10000,1438271289,infrastructure,Infrastructure co-presence,0.018859465902156453,0.019829723987258026,0.9510705199061252,0.02827088593731225,0.3179,0.31796820317968205,0.0050890124809410435,1.0364392502117452
continental_zero_lower_bound,sensitivity,47,1081,10000,1438271289,shared_rec_count,Shared REC count,-0.013545277704936798,0.03157866182990105,-0.42893767246689063,-0.014145528156132308,0.6905,0.6905309469053095,-0.00166532089575316,1.0884680200059595
continental_zero_lower_bound,sensitivity,47,1081,10000,1438271289,contiguous_border,Contiguous border,0.23529319666471255,0.08074369328601683,2.9140752310058198,0.099429940019904,0.0045,0.0045995400459954,0.000540533426268749,1.011495127474101
continental_zero_lower_bound,sensitivity,47,1081,10000,1438271289,log_distance_capital_km,Log capital distance,-0.16415410678111098,0.0253677650617448,-6.470972369129171,-0.24607176327403435,0.0,9.999000099990002e-05,0.004167129745510757,1.1072338337491991
continental_zero_lower_bound,sensitivity,47,1081,10000,1438271289,common_official_language,Common official language,0.2879995616142296,0.03765850060573707,7.647664059422335,0.21578883365428386,0.0,9.999000099990002e-05,-0.0016960212552462536,1.063459299572359
continental_zero_lower_bound,sensitivity,47,1081,10000,1438271289,log_gdp_geometric_mean,Log GDP geometric mean,0.08782446007182088,0.02101330594710994,4.1794689656579145,0.13165141081288959,0.0009,0.000999900009999,0.013148457619426528,1.3011847297867543
continental_zero_lower_bound,sensitivity,47,1081,10000,1438271289,log1p_member_asn_geometric_mean,Log1p member-ASN geometric mean,0.01977734941878022,0.021559975791709117,0.9173177933894339,0.029646819929124952,0.4308,0.43085691430856915,-0.01203702577576894,1.1538624844515843
